,s,c,context
524,Printing Tracking,taz4/5 system level cad layout,
525,Printing Tracking,reverting back to taz 4 nozzle(and head) from taz 5,
526,Printing Tracking,taz 5 not maintaining hot end temperature,hot end temperature low
527,Printing Tracking,taz1 fine tuning,
528,Printing Tracking,fighting z wobble,
529,Printing Tracking,sproket come loose / sheared ?,
530,Printing Tracking,thumb screws unscrewing,
531,Printing Tracking,"fine bottom, lacking top",
532,Printing Tracking,new taz5 user needs help,
533,Printing Tracking,dual duct halo taz 4,
534,Quality Checking,dual duct halo taz 4,
535,Printing Tracking,recommended computer hardware for the taz5?,
536,Printing Tracking,out of round large herringbone extruder gear,
537,Printing Tracking,likelihood of success??,
538,Printing Tracking,abs part lifting/warping off bed of taz5,
539,Printing Tracking,vertical ripples,
540,Printing Tracking,item deformation,
541,Printing Tracking,taz v nozzle clogging,nozzle clogged
542,Printing Tracking,upgraded to taz 5 now print issues,
543,Printing Tracking,how long should the pei sheet last?,pei sheet replacement
544,Printing Tracking,"taz 5 hotend problem, please help",
545,Printing Tracking,holes in top layer,
546,Quality Checking,holes in top layer,
547,Printing Tracking,sad octopuses,
548,Printing Tracking,bed leveling using a digital indicator,bed leveling fail
549,Printing Tracking,taz 5 help! first layer failing pretty bad.,first layer issue
550,Printing Tracking,"hexagon hot end clogged already, any tips to unclog?",hot end clogged
551,Printing Tracking,enclosure for taz5,enclosure problem
552,Printing Tracking,first layer,first layer issue
553,Printing Tracking,first layer,first layer issue
554,Printing Tracking,taz 5 extruder issue.,extruder clogged
555,Printing Tracking,taz 5 extruder issue.,not extruding
556,Printing Tracking,new taz 5 adhesion issue,adhesion issue
557,Printing Tracking,taz 5 extruding issues,not extruding
558,Printing Tracking,best practices to remove finished prints from print bed,
559,Printing Tracking,my taz 5 died,power supply dead
560,Printing Tracking,taz 5 heat sink fan,
561,Printing Tracking,"i got question, there is a lot of them!",
562,Printing Tracking,is this a z-wobble issue?,
563,Printing Tracking,several extruder questions...,not extruding
564,Printing Tracking,small cylindrical parts printing oval,
565,Printing Tracking,taz 5 hotend clogged,nozzle clogged
566,Printing Tracking,hexagon nozzle and volcano,hexagon nozzle problem
567,Printing Tracking,printer will not turn on after only 3 prints :(,power supply dead
568,Printing Tracking,how to removed printed objects,
569,Printing Tracking,instead of using 3m tape for pei,pei sheet replacement
570,Printing Tracking,taz4 misfeeding - hobbed bolt chewing filament,
571,Printing Tracking,replacment printed parts for the taz 5,
572,Printing Tracking,questions about replacement nozzles,nozzle replacement
573,Quality Checking,questions about replacement nozzles,nozzle replacement
574,Printing Tracking,new  taz 5 owner 3 weeks in,
575,Quality Checking,new  taz 5 owner 3 weeks in,
576,Printing Tracking,taz 5 hips nozzle to close?,
577,Printing Tracking,fine tuning help needed since hex hotend,
578,Quality Checking,fine tuning help needed since hex hotend,
579,Printing Tracking,what i want for xmas is...auto bed leveling (kittaz),auto bed leveling
580,Printing Tracking,brand new taz 5 user,
581,Printing Tracking,printing replacement parts for taz,printing spare parts questions
582,Printing Tracking,what do i do if a part of my new taz5 printer came broken?,
583,Printing Tracking,taz 5 - questions,dual extruder questions
584,Printing Tracking,new tool head v2 and ninja flex?,
585,Printing Tracking,dual extruder: can this be produced cleanly?,
586,Quality Checking,dual extruder: can this be produced cleanly?,
587,Printing Tracking,metal shavings and clogged extruder,nozzle clogged
588,Printing Tracking,new user seeking advice,
589,Printing Tracking,tips for a convert?,
590,Printing Tracking,hotend issues,hot end not heating up
591,Printing Tracking,better print quality,print quality issue
592,Quality Checking,better print quality,print quality issue
593,Printing Tracking,new hotend kit question,
594,Printing Tracking,printing freezes,
595,Printing Tracking,odd pattern printing a flat box,print quality issue
596,Printing Tracking,pla prints are curling off the bed,
597,Printing Tracking,taz4 printing problems,
598,Printing Tracking,"single and dual extruder hotends, can i freely swap them?",
599,Printing Tracking,taz 4 z axis wont move.,z-axis stepper motor issue
600,Printing Tracking,a little stuck here.,
601,Printing Tracking,print bed is fianlly level,
602,Printing Tracking,heated bed always registers 1c below set temp,
603,Printing Tracking,very low extrusion rate after pla clog,nozzle clogged
604,Printing Tracking,taz 4 feed rate and speed,feed rate issue
605,Printing Tracking,improving dimensional accuracy on taz 4,
606,Printing Tracking,new taz4 owner and have hard time getting prints,
607,Printing Tracking,new taz4 printer weird extrusion noise when printing slowly,weird extrusion noise
608,Printing Tracking,chunky printing in perimeters and infill,
609,Printing Tracking,"taz4 abs prints lumpy, wavy, bumpy!",
610,Printing Tracking,can't print from sd card,
611,Printing Tracking,"taz 4 stopped extruding, now it's broken",nozzle clogged
612,Printing Tracking,lock washer retrofit,
613,Printing Tracking,"taz 4 not printing properly, help!",not printing
614,Printing Tracking,general help with taz 4,
615,Printing Tracking,switching to pla from abs,switching to pla from abs
616,Printing Tracking,taz 4 won't turn on,power supply dead
617,Printing Tracking,extruder tension,
618,Printing Tracking,expanding the print envelope. what would be involved?,
619,Printing Tracking,"taz 4 adhesion problems and ""wait for user"" on lcd screen",building enclosure
620,Quality Checking,"taz 4 adhesion problems and ""wait for user"" on lcd screen",building enclosure
621,Printing Tracking,drive gear broken. why?,gear broken
622,Printing Tracking,sharp overhang blobbing,
623,Printing Tracking,extruder hitting lower layer(s),
624,Printing Tracking,taz 4 not reading sd card,not reading sd card
625,Printing Tracking,budaschnozzle not extruding,nozzle not extruding
626,Printing Tracking,pla jamming on taz 4,extruder clogged
627,Printing Tracking,fan lowering hot end temp,
628,Printing Tracking,taz 4 quivers printing round sequences,
629,Printing Tracking,new taz 4 on-order,
630,Printing Tracking,taz 4 filament holder bar strength question,
631,Printing Tracking,a few pre purchase questions,purchase recommendation
632,Printing Tracking,why do bad things happen after the print finishes?,
633,Printing Tracking,curling on corners,
634,Printing Tracking,taz 40mm fan mount designs/revisions,
635,Printing Tracking,thoughts about the taz 3 from taz 3 owners wanted,
636,Quality Checking,thoughts about the taz 3 from taz 3 owners wanted,
637,Maintenance,thoughts about the taz 3 from taz 3 owners wanted,
638,Printing Tracking,blown fan 2 mosfet,
639,Printing Tracking,"strange ""striping"" of extruded filament",
640,Printing Tracking,bed calibration print question,bed calibration
641,Printing Tracking,taz heated bed - no longer going up to temp,
642,Printing Tracking,considering purchase,purchase recommendation
643,Quality Checking,considering purchase,purchase recommendation
644,Printing Tracking,small repeating blob on inner perimiters,
645,Printing Tracking,lulzbot customer support in need of an upgrade :-(,
646,Quality Checking,lulzbot customer support in need of an upgrade :-(,
647,Printing Tracking,what's up with these noisy fans??!?!,fan noise
648,Printing Tracking,extruder fan help!,fan stopped working
649,Printing Tracking,plowing on 0.15 layer for some areas,
650,Printing Tracking,hobbed bolt chewing through abs on taz 0.15 layer height,
651,Quality Checking,hobbed bolt chewing through abs on taz 0.15 layer height,
652,Printing Tracking,hot end fail,hot end not heating up
653,Printing Tracking,"taz vs. ultimaker, series 1, m2...",purchase recommendation
654,Printing Tracking,"unsure of cause, help?",
655,Printing Tracking,heat resistor dead at 3 months,heat resistor burn out
656,Printing Tracking,frakentaz? building a taz from a prusa i2?,
657,Printing Tracking,taz y-axis failure,
658,Printing Tracking,rotator cuff - too much extrusion on corners or overhangs,
659,Printing Tracking,"weird ""ribbing"" on my prints",
660,Printing Tracking,poor layer adhesion and some funky y-axis stuff on taz,
661,Printing Tracking,what scale are taz source files in?,
662,Printing Tracking,new printer calibration issue,calibration issue
663,Printing Tracking,printing replacement parts,printing spare parts questions
664,Printing Tracking,print help,
665,Printing Tracking,dimension accuracy problem while printing with taz,
666,Printing Tracking,slightly off x and y axis dimensions,
667,Printing Tracking,goofy first layers,first layer issue
668,Quality Checking,taz fan mount!,fan mount
669,Quality Checking,taz pro owners -- do you recommend it?,purchase recommendation
670,Quality Checking,taz 5 low print quality,print quality issue
671,Quality Checking,new tool heads,
672,Quality Checking,top layer possible over extrusion,
673,Quality Checking,troubleshooting print quality,print quality issue
674,Quality Checking,the first layer,first layer issue
675,Quality Checking,dual extruder - what should i expect?,dual extruder questions
676,Quality Checking,taz5 z-axis skewed after each print,
677,Quality Checking,taz 5 user looking for test print on taz 6,
678,Quality Checking,squish and stringy appearance,
679,Quality Checking,print quality problem,print quality issue
680,Quality Checking,suggestions on cleaning up print,
681,Quality Checking,first benchy: how to improve!,
682,Quality Checking,bed centered cam mount for taz 6 ???,
683,Quality Checking,why i bought a taz 5,
684,Quality Checking,poor print quality,
685,Quality Checking,strange lines on my print,
686,Quality Checking,taz 4 belt problem,belt slipping
687,Quality Checking,infill to perimeter issues,
688,Quality Checking,new taz 6 owner,
689,Quality Checking,"i'll admit it, i like em small.",
690,Quality Checking,too much rocktopus settings,
691,Quality Checking,leveling the y axis - getting rid of high / low spots,
692,Quality Checking,flexy dually - almost there (print quality),
693,Quality Checking,dampers for taz 5 steppers?,z-axis noise
694,Quality Checking,lulzbot v2 hot end w/ stainless steel or other high quality nozzle?,
695,Quality Checking,z couplers,
696,Quality Checking,do we like the new v2 dual print head ?,
697,Quality Checking,print quality degrading?,
698,Quality Checking,what should i actually expect from my taz 5 with minimal modifications,
699,Quality Checking,sh!tty build quality,
700,Quality Checking,new taz 5 - issues with taller prints - consistent height ribbing / waviness (solved),print quality issue
701,Quality Checking,ticking noise somewhere on the y axis,weird extrusion noise
702,Quality Checking,print quality after layer >~6,print quality issue
703,Quality Checking,taz 4.5 print quality issue,
704,Quality Checking,quality problems,
705,Quality Checking,z axis moves are inconsistent,z-axis stepper motor issue
706,Quality Checking,taz 5 nozzle clog,nozzle clogged
707,Quality Checking,1/4 of my print messes up.,
708,Quality Checking,changing to a chimera,
709,Quality Checking,new taz 5 owner unboxing experience,
710,Quality Checking,improved taz fan duct,
711,Quality Checking,slightly gloppy edges (pla),
712,Quality Checking,best taz 3/4 upgrades...,
713,Quality Checking,what manner of sorcery is this?,
714,Quality Checking,sudden issue with default taz3 profile,
715,Quality Checking,taz 4 print quality advice?,
716,Quality Checking,print resolution for little octopus that comes with new taz?,
717,Quality Checking,taz 2 print quality finally sorted (hopefully),
718,Maintenance,considering purchasing a taz 5 from a friend,
719,Maintenance,taz 6 - no greasing required on any axis?,
720,Maintenance,building an enclosure,building enclosure
721,Maintenance,general maintenance,
722,Maintenance,upgrades to convert a taz 4 to a taz 5,purchase recommendation
723,Maintenance,hotend no temp. heater is working,
